"GDP per capita, current prices
 (U.S. dollars per capita)";1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Barbados;4071,933;4481,597;4682,547;4971,029;5418,577;5670,823;6226,14;6856,284;7292,537;8070,922;8094,688;8128,647;7828,673;8299,702;8185,546;8431,904;8983,9;9442,256;10618,683;11101,93;11368,498;11317,19;11471,21;11817,214;12630,29;13970,72;15392,156;17014,953;17380,767;16185,705;16380,375;16803,903;16593,826;16797,553;16827,821;16893,664;17266,199;17757,58;18365,986;18451,76;18876,585;19565,496;20347,457;21160,69
Belarus;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1210,104;1076,142;1481,461;1000,204;1375,754;1341,854;1452,41;1165,601;1277,052;1247,469;1480,153;1811,855;2370,274;3115,513;3838,293;4726,479;6366,189;5345,325;6023,149;6472,739;6938,067;7977,147;8316,012;5941,24;5022,472;5727,385;6020,043;6372,278;6637,847;6903,657;7208,687;7670,877
Belgium;12596,432;10421,61;9177,46;8672,346;8288,99;8614,531;11937,381;14819,379;16094,351;16184,35;20227,662;20673,831;22945,228;21839,937;23750,957;28610,841;27747,821;25086,126;25602,854;25508,517;23298,473;23189,549;25186,094;30857,164;35711,777;37143,191;39020,228;44638,2;48850,72;45176,012;44691,258;47951,073;44976,954;46784,987;47546,852;40514,1;41352,051;43488,492;46978,654;47532,382;49426,413;50996,515;52788,139;54473,892
Belize;1148,111;1193,646;1170,803;1200,667;1304,267;1258,664;1332,602;1518,633;1759,218;1976,865;2179,95;2291,929;2603,278;2729,91;2751,794;2863,58;2888,603;2845,15;2888,405;3013,08;3330,955;3388,367;3516,41;3618,466;3743,261;3818,446;4040,716;4143,093;4249,069;4141,123;4317,435;4475,383;4617,685;4610,937;4773,721;4855,441;4842,019;4806,493;4830,014;4890,193;4932,441;4961,319;4995,026;5034,841
Benin;463,279;302,87;290,907;249,415;257,923;270,981;338,366;391,603;398,296;359,376;424,693;419,748;450,629;423,975;285,164;370,875;390,36;363,909;380,166;404,155;375,215;378,979;419,994;520,205;583,996;602,79;626,338;706,995;823,982;795,512;759,065;826,7;838,435;916,135;946,498;786,172;791,495;831,1;923,25;971,352;1031,803;1099,551;1156,446;1222,004
Bhutan;307,957;323,738;331,996;350,04;353,646;356,027;389,913;456,239;506,507;493,323;524,929;455,209;451,704;480,266;494,125;581,144;606,11;668,031;715,848;730,512;773,491;783,204;842,667;932,757;1056,226;1171,862;1288,486;1501,905;1865,177;1721,428;1998,765;2382,108;2445,204;2451,849;2387,788;2604,186;2675,388;2990,924;3211,326;3419,175;3604,322;3822,144;4103,351;4415,756
Bolivia;695,535;615,66;668,55;619,896;631,152;668,921;640,939;683,624;712,146;715,525;723,42;777,891;804,735;795,05;804,712;885,679;955,574;1005,873;1057,72;1010,58;1005,409;959,844;914,958;918,468;979,59;1049,064;1240,94;1399,8;1749,2;1789,604;1994,911;2394,789;2664,571;2969,52;3146,851;3099,454;3137,626;3412,813;3719,247;3941,74;4188,459;4443,416;4713,065;5008,581
Bosnia and Herzegovina;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;947,953;1220,09;1408,122;1533,908;1474,45;1533,616;1777,342;2242,967;2686,001;2891,677;3296,751;4060,061;4971,824;4697,839;4611,347;5050,025;4716,643;5036,032;5194,014;4584,264;4808,299;5180,778;5703,869;5916,943;6337,623;6750,714;7233,022;7731,39
Botswana;1199,223;1039,432;1057,51;1126,868;1079,237;968,951;1267,145;1915,113;2398,684;2584,231;2750,806;2673,588;2684,209;2629,778;2755,722;2984,191;3006,151;3025,699;2841,934;3173,687;3301,212;3090,261;3017,716;4119,412;4840,806;5338,237;5352,865;5676,255;5641,182;5183,686;6374,994;7503,961;7710,797;7007,254;7497,686;6538,589;6959,376;7584,499;8167,977;8316,5;8693,125;9070,901;9466,501;10049,815
Brazil;1229,447;1382,058;1445,715;1134,529;1105,46;1718,904;1954,375;2086,704;2288,611;3086,832;3105,013;2676,886;2522,84;2786,175;3493,998;4950,659;5192,802;5321,161;5130,984;3507,4;3778,877;3183,499;2856,942;3087,471;3654,374;4810,691;5906,249;7369,461;8849,837;8617,229;11292,866;13242,514;12368,68;12293,823;12112,31;8803,352;8701,09;9895,765;9126,864;9159,549;9559,617;9976,348;10418,469;10884,704
Brunei Darussalam;no data;no data;no data;no data;no data;19979,818;11946,922;13281,59;12241,233;13457,077;15422,566;15773,381;17386,219;16664,546;16140,896;18292,06;19282,327;19120,874;14526,109;16112,075;20511,076;18680,432;18845,723;20821,905;24294,89;28589,055;33253,615;34811,045;42678,823;31287,184;35437,219;47092,296;47736,288;44716,289;41630,539;31047,072;26967,623;28278,434;33824,101;34559,082;34276,788;35830,979;37262,307;37732,231
Bulgaria;2818,226;3029,505;3148,774;3226,338;3421,643;2930,406;2599,523;3025,765;4973,359;5101,198;2267,396;224,185;919,068;504,076;895,398;1514,293;1153,869;1228,132;1631,94;1673,66;1613,935;1783,719;2074,575;2689,768;3344,622;3839,448;4444,514;5812,68;7152,785;6859,679;6743,737;7836,578;7399,392;7695,689;7877,094;7017,109;7496,077;8077,009;9080,255;9504,067;10187,416;10841,015;11568,239;12292,876
Burkina Faso;291,201;247,214;224,62;200,203;174,548;200,896;256,767;291,129;313,06;304,852;351,985;346,407;361,049;334,946;196,026;235,832;249,36;229,493;255,718;267,017;226,844;237,449;261,756;332,878;371,688;407,819;420,869;475,793;572,441;554,18;574,328;667,452;674,196;700,24;704,983;575,621;606,554;654,869;734,033;767,702;818,4;867,265;920,631;965,977
Burundi;232,381;234,94;241,083;247,995;218,999;247,644;253,424;231,932;211,184;213,175;207,113;207,674;187,243;162,572;157,474;167,177;142,588;157,054;141,755;133,412;130,225;127,349;116,392;108,066;122,381;148,71;164,575;170,174;195,79;208,78;231,549;247,097;250,118;267,696;296,186;294,496;298,006;312,463;306,966;309,87;312,732;315,731;323,712;335,157
Cabo Verde;541,435;522,81;517,666;499,536;466,312;476,329;645,817;783,24;861,862;853,014;957,369;974,873;1062,47;1046,265;1149,124;1342,454;1351,814;1292,61;1348,93;1502,101;1332,05;1365,332;1479,593;1908,977;2159,232;2278,165;2566,454;3129,819;3692,003;3524,33;3413,263;3801,454;3463,269;3614,463;3590,051;3042,979;3131,473;3300,989;3622,206;3733,596;3961,084;4173,598;4410,07;4643,107
Cambodia;no data;no data;no data;no data;no data;no data;25,707;17,116;32,608;39,704;99,833;215,671;252,491;242,479;265,056;319,537;316,188;302,166;267,864;293,699;299,982;320,046;337,501;360,659;405,629;470,683;536,151;627,78;741,855;734,655;781,912;877,635;945,702;1009,343;1090,709;1163,414;1270,484;1379,342;1485,327;1598,602;1715,824;1838,472;1964,062;2098,053
Cameroon;928,577;1022,233;953,543;935,494;962,85;979,483;1242,483;1399,288;1380,513;1194,707;1159,858;1254,628;1115,886;1130,159;746,71;688,963;746,867;734,603;713,686;707,439;630,698;649,524;705,615;862,274;1004,871;1007,39;1056,26;1187,884;1368,943;1309,147;1282,461;1402,671;1357,119;1471,227;1552,471;1338,603;1377,865;1441,379;1544,959;1573,141;1650,165;1721,63;1805,436;1890,104
Canada;11239,37;12354,983;12498,455;13441,102;13894,725;14130,792;14479,26;16339,176;18965,345;20762,879;21494,446;21807,156;20914,144;20144,952;19962,769;20640,861;21256,803;21857,067;20974,36;22263,217;24220,275;23776,634;24208,773;28239,455;32075,701;36313,445;40440,003;44599,148;46660,868;40831,097;47512,679;52143,843;52577,195;52497,441;50702,105;43559,73;42418,496;45094,605;46733,032;48601,046;51229,44;53801,227;56736,621;59734,421
Central African Republic;313,369;316,495;298,747;279,719;265,441;340,227;431,342;465,181;490,939;474,879;539,656;502,896;489,786;418,922;268,106;340,988;298,443;285,804;296,103;290,99;243,232;242,266;255,649;289,835;322,802;337,641;362,233;413,345;474,39;464,514;456,564;495,035;480,053;329,444;362,872;330,563;359,339;388,655;454,065;489,546;526,118;561,649;599,985;638,974
