"GDP per capita, current prices
 (U.S. dollars per capita)";1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Eswatini;1385,639;1423,398;1237,354;1236,186;1022,977;780,014;958,218;1199,787;1364,154;1337,329;1588,635;1604,55;1739,7;1791,226;1903,152;2222,678;2059,674;2154,565;1935,685;1864,871;1812,122;1591,704;1470,135;2238,673;2808,423;3187,268;3264,075;3396,65;3197,672;3448,804;4210,309;4523,705;4468,26;4176,427;3962,003;3594,818;3285,111;3850,545;4092,877;4133,344;4207,007;4265,22;4366,934;4490,954
Ethiopia;215,178;215,599;220,557;237,661;217,423;246,507;247,981;256,699;257,56;262,233;269,082;287,651;293,35;176,465;151,965;152,658;155,121;152,171;134,226;128,213;129,678;125,722;116,789;120,873;138,553;165,218;198,344;249,209;334,145;397,808;360,829;379,381;503,989;548,048;628,342;720,617;802,121;872,84;890,565;921,851;999,57;1076,613;1153,755;1239,845
FYR Macedonia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1263,863;1383,543;1824,418;2387,158;2348,109;1980,429;1888,755;1931,989;1878,237;1839,616;1974,061;2440,813;2796,622;3071,897;3359,608;4076,296;4838,148;4579,092;4576,228;5174,894;4728,267;5239,722;5498,606;4860,421;5188,432;5474,423;5953,262;6142,558;6535,948;6917,436;7353,815;7798,014
Fiji;1941,876;1947,628;1833,922;1682,16;1727,279;1647,503;1845,552;1678,205;1579,6;1650,08;1808,634;1857,778;2039,966;2160,826;2392,427;2561,814;2746,468;2677,231;2102,211;2444,91;2103,817;2056,937;2266,294;2824,116;3301,379;3608,577;3699,208;4034,938;4187,669;3395,695;3697,237;4422,608;4632,025;4863,456;5179,865;4995,77;5232,277;5527,537;5876,552;6230,954;6606,747;7005,204;7420,503;7868,046
Finland;11257,795;10990,447;11036,936;10545,058;10889,934;11488,754;14998,341;18632,076;22122,56;24040,639;28505,543;25665,172;22514,811;17669,829;20433,664;26349,385;25827,21;24744,561;26054,154;26242,128;24342,604;24963,415;26946,518;32915,019;37736,545;39103;41238,707;48463,305;53785,144;47337,938;46391,713;50960,182;47553,397;49766,126;50087,853;42505,91;43582,433;45927,492;50068,076;50878,536;53133,385;55021,316;57067,258;58996,16
France;13069,505;11456,04;10822,037;10292,761;9697,432;10108,561;13947,316;16793,955;18240,997;18236,767;22490,289;22406,387;24590,746;23082,715;24262,184;27741,294;27720,861;25028,466;25818,37;25549,696;23207,839;23240,837;25113,254;30675,365;35004,53;36082,12;37793,808;43059,907;47191,131;43176,385;42181,583;45410,097;42371,124;44145,229;44616,405;37937,853;38200,283;39932,686;42930,768;43499,726;45352,578;46974,171;48789,596;50502,022
Gabon;6093,615;5376,616;4930,527;4619,015;4346,388;4478,468;5735,355;4245,955;4581,144;4899,234;6815,634;5993,32;6015,511;5677,618;4293,942;4956,842;5552,917;5068,093;4161,617;4222,734;4477,321;4065,16;4206,24;5014,408;5835,668;6947,513;7270,687;8652,12;10426,212;7854,2;8933,942;10891,096;9903,189;9760,882;9746,775;7453,113;7082,302;7373,128;8384,735;8555,537;8922,407;9266,496;9518,113;9947,561
Gambia, The;1117,904;1006,711;918,451;888,186;613,246;716,477;537,175;691,742;771,322;778,464;877,234;889,162;921,341;932,24;892,217;904,37;916,463;908,28;906,41;903,464;854,358;822,49;704,994;648,807;716,938;746,113;718,073;827,647;1015,355;907,499;963,529;800,32;789,626;735,236;656,497;693,01;708,855;704,699;739,94;761,231;790,17;819,156;848,899;877,015
Georgia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;167,794;397,848;655,332;770,192;800,675;627,58;689,35;731,21;776,793;924,35;1201,953;1522,416;1862,95;2478,769;3158,884;2693,734;2951,244;3710,701;4130,549;4266,593;4428,262;3761,91;3884,017;4085,834;4505,764;4805,968;5196,285;5644,356;6133,816;6670,394
Germany;11067,707;9294,292;8980,869;8991,058;8505,461;8646,016;12340,143;15353,218;16452,169;16170,706;20172,523;23364,326;26432,955;25568,585;27244,565;31901,248;30743,139;27253,126;27580,223;27053,846;24003,789;23945,534;25565,13;30779,565;34646,669;35236,678;37018,783;42531,246;46681,071;42576,208;42641,416;46852,925;44089,275;46544,947;48218,87;41415,169;42460,686;44769,224;48669,628;49692,145;52277,638;54627,197;57245,637;59718,203
Ghana;2495,65;4018,092;4543,805;2861,91;980,752;802,616;710,994;586,848;612,613;603,545;698,034;765,265;733,812;629,757;560,272;648,477;678,106;657,217;695,754;699,831;440,557;458,197;518,345;625,627;709,83;836,35;952,758;1126,861;1266,113;1107,394;1357,644;1627,899;1682,583;1870,158;1479,018;1372,174;1551,767;1662,585;1786,652;1924,169;2011,687;2085,262;2167,242;2275,394
Greece;5948,312;5422,695;5623,925;5050,595;4895,517;4832,492;5670,974;6577,878;7632,639;7879,212;9679,318;10282,862;11234,158;10451,746;11122,873;12997,524;13776,698;13484,135;13526,691;13901,672;12268,253;12577,02;14171,836;18530,221;22007,85;22624,066;24857,207;28899,948;32198,014;29819,229;26972,873;25896,934;22171,911;21805,257;21726,89;18018,04;17875,98;18637,27;20311,014;20930,472;22047,785;22989,56;23917,387;24685,266
Grenada;1246,003;1276,906;1347,451;1373,168;1478,411;1678,863;1873,217;2163,51;2410,287;2759,682;2888,348;3118,149;3191,017;3151,541;3270,578;3413,022;3640,139;3878,391;4401,422;4751,576;5117,59;5109,959;5292,233;5773,074;5836,178;6754,513;6766,487;7324,191;7947,445;7395,089;7365,667;7410,478;7583,189;7956,077;8574,014;9342,059;9857,475;10405,303;11031,941;11630,133;12183,238;12745,595;13327,418;13935,658
Guatemala;1014,948;1081,263;1067,959;1081,019;1102,926;1269,503;669,266;755,753;798,248;897,807;767,058;916,058;991,381;1052,61;1165,427;1279,143;1335,423;1479,006;1570,72;1448,276;1475,207;1568,379;1701,769;1753,339;1872,738;2077,835;2256,559;2489,954;2794,241;2635,743;2825,507;3187,836;3299,603;3452,83;3687,748;3923,56;4140,717;4469,457;4582,654;4698,605;4901,779;5096,784;5282,427;5472,901
Guinea;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;616,328;660,444;678,626;639,332;626,432;655,749;656,708;628,192;591,511;557,831;461,784;427,879;444,663;517,03;538,88;470,57;426,419;628,711;675,387;637,478;631,291;540,562;637,791;712,982;729,798;712,047;687,118;790,321;865,251;914,762;965,762;1018,98;1068,072;1116,307
Guinea-Bissau;218,699;273,941;305,168;337,149;229,638;330,465;316,017;262,605;239,877;282,621;337,82;465,072;498,383;376,258;414,591;428,799;399,43;371,27;329,053;347,737;304,618;311,913;328,781;375,135;409,126;442,734;436,702;502,821;613,081;571,99;582,54;736,686;649,026;671,136;662,382;643,916;708,398;793,622;851,536;883,674;944,053;1003,603;1070,632;1140,33
Guyana;739,531;711,499;587,896;634,647;632,507;645,046;711,736;891,358;836,085;1072,803;905,709;1024,369;837,991;1001,878;1209,223;1366,164;1528,558;1618,376;1511,149;1549,823;1513,77;1517,114;1560,957;1612,484;1697,202;1766,006;1956,018;2334,01;2560,997;2693,189;3004,231;3414,761;3779,463;3926,363;4029,779;4168,479;4531,241;4578,204;4648,722;4938,551;5930,64;6895,977;7570,429;9168,918
Haiti;260,453;281,633;287,754;303,4;330,237;360,211;393,132;190,252;123,631;112,003;139,691;123,002;72,415;81,256;231,269;359,759;364,991;411,606;450,945;494,256;462,491;413,718;393,004;329,766;387,951;465,33;505,495;615,81;674,858;668,272;662,013;740,848;766,807;810,172;829,911;809,672;753,91;783,789;874,043;893,974;919,208;949,718;976,86;995,589
Honduras;965,369;1027,84;1026,636;1055,263;1104,026;1174,226;1192,962;1262,822;1365,687;1482,571;850,16;832,248;902,651;901,375;860,229;968,433;911,308;979,457;1063,53;1049,427;1137,825;1187,493;1196,349;1228,48;1298,936;1405,781;1547,264;1720,766;1899,55;1962,068;2096,203;2315,744;2395,103;2356,901;2481,453;2598,097;2642,706;2766,271;2829,03;2866,762;2900,19;2950,075;3023,685;3115,624
Hong Kong SAR;5664,005;5953,184;6096,008;5551,001;6127,277;6444,906;7328,419;8980,83;10453,711;11928,483;13280,622;15190,414;17586,418;19925,115;22038,531;22908,926;24698,956;27214,595;25649,085;24969,005;25574,491;25166,902;24731,081;23856,482;24873,898;26551,769;28028,157;30494,551;31487,94;30593,991;32422,056;34951,031;36619,811;38230,066;40182,28;42321,712;43499,075;46080,481;48231,33;50566,527;53201,742;55908,224;58941,899;62025,21
Hungary;2151,154;2206,805;2249,656;2046,101;1989,614;2022,666;2338,458;2582,471;2838,147;2909,278;3311,809;3349,737;3732,9;3870,548;4168,426;4491,82;4520,861;4590,835;4744,21;4795,711;4628,314;5276,6;6655,221;8413,014;10293,93;11218,384;11442,31;13913,878;15843,733;13024,296;13061,032;14106,012;12858,018;13645,442;14191,288;12461,747;12802,409;14209,443;16016,041;16905,674;18069,609;19146,494;20275,871;21380,059
Iceland;14891,371;15180,741;13733,604;11665,24;11971,494;12377,097;16383,351;22381,32;24304,847;22388,224;25336,306;26665,354;27000,162;23426,394;23887,012;26523,695;27603,209;27832,316;30807,812;32150,66;31774,465;28632,507;32220,43;39281,622;47124,767;56062,127;55957,088;68202,042;56064,583;41446,519;42969,394;47433,463;45747,274;49232,277;53959,552;52158,357;61226,794;70248,268;75699,62;79270,739;83924,53;88133,599;92749,095;97659,425
India;276,35;280,764;284,468;303,761;288,563;311,426;324,248;356,246;368,341;361,454;385,378;318,104;332,497;315,42;362,366;391,249;418,63;434,709;432,225;462,218;462,978;471,701;491,989;571,555;656,517;747,335;837,46;1076,835;1048,735;1153,188;1422,929;1497,746;1481,562;1485,595;1610,355;1638,758;1749,164;1976,093;2016,152;2188,029;2379,514;2584,827;2803,494;3039,994
Indonesia;673,239;736,992;741,946;659,474;672,201;658,217;610,234;562,902;621,934;696,874;770,757;847,573;907,767;1013,057;1115,613;1254,023;1394,497;1308,114;572,09;829,574;870,154;834,139;1002,907;1186,845;1280,696;1403,876;1764,79;2064,232;2418,043;2464,956;3178,133;3688,531;3744,53;3684;3533,606;3369,355;3604,281;3875,769;3788,952;3970,605;4318,641;4569,154;4834,579;5118,454
Iran;2380,477;2484,973;3007,012;3537,949;3495,221;3776,613;4222,513;5465,15;6137,679;7128,938;10556,089;5417,511;872,336;1131,193;1412,712;1954,868;2620,047;3041,22;3364,215;4387,747;5698,409;5119,721;1957,433;2272,5;2734,027;3288,366;3834,729;4929,064;5621,054;5608,976;6504,869;7680,859;5118,474;5152,037;5395,791;4723,476;5026,648;5289,795;5221,974;4006,315;4052,138;4152,591;4284,968;4412,071
Iraq;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;608,655;1373,738;1828,738;2321,258;3090,851;4472,118;3701,862;4473,71;5848,537;6692,576;7021,406;6517,259;4811,922;4505,306;4950,31;5793,467;6116,857;6210,086;6318,018;6454,649;6607,324
Ireland;6250,242;5884,518;6076,233;5837,997;5590,053;5932,683;7990,638;9416,545;10362,026;10751,235;13640,502;13743,875;15327,074;14258,315;15450,496;19080,798;20774,86;22461,548;24172,174;26189,625;26151,622;28079,52;32438,465;40921,155;47336,152;50475,596;53762,863;60812,431;61192,87;52100,217;48715,3;51930,478;48890,835;51548,919;55528,931;61695,816;63282,209;68710,817;75192,292;77160,396;81171,788;84501,127;88228,218;91749,643
Israel;6080,849;6397,24;6735,243;7355,31;6874,476;6277,779;7610,138;8943,644;10897,511;10900,187;12470,359;13320,198;14369,739;14070,443;15657,819;18107,043;19352,725;19700,476;19435,939;19156,737;21053,346;20307,821;18437,129;18971,712;19900,499;20566,739;21834,109;24902,762;29540,59;27722,008;30654,337;33701,493;32539,282;36307,198;37556,294;35705,407;37192,14;40272,966;41179,827;41559,44;43138,022;44596,351;46289,058;47953,563
Italy;8555,452;7746,094;7649,307;7932,48;7837,066;8089,78;11455,793;14379,089;15926,68;16552,846;20642,029;21785,435;23105,704;18564,172;19140,539;20607,138;23032,907;21808,664;22282,215;21967,861;20112,596;20419,537;22288,641;27488,526;31239,993;31958,554;33339,725;37685,334;40689,133;36849,92;35657,625;38003,359;34469,65;35219,817;35456,675;30163,208;30662,413;31996,984;34349,219;34784,132;36095,567;37169,853;38406,295;39515,863
Jamaica;1214,379;1310,503;1479,509;1289,23;948;878,359;1034,771;1158,596;1372,734;1588,557;1971,695;1799,773;1804,411;2280,661;2266,075;2657,668;2975,134;3347,367;3467,544;3473,435;3510,575;3529,711;3700,053;3562,456;3816,905;4187,91;4430,505;4756,273;5054,564;4435,269;4812,255;5232,302;5332,494;5104,904;4953,222;5029,073;4956,267;5193,359;5393,382;5475,674;5685,735;5919,231;6170,05;6434,015
Japan;9466,402;10363,516;9577,94;10424,374;10981,923;11580,2;17118,391;20755,509;25065,131;24830,994;25379,595;28923,312;31429,621;35698,906;39219,812;43441,33;38450,955;35034,544;31915,728;36039,07;38535,579;33850,896;32300,666;34831,196;37696,73;37223,77;35463,866;35342,482;39453,494;41014,185;44673,599;48168,804;48632,913;40490,163;38156,337;34612,25;38989,207;38448,569;40105,78;41418,256;42763,769;44127,29;45849,558;47617,103
Jordan;1645,769;1783,024;1829,808;1845,105;1788,172;1726,937;2126,684;2158,264;1944,317;1252,55;1168,512;1157,624;1353,052;1320,375;1409,786;1454,165;1468,995;1499,555;1605,609;1624,979;1657,911;1728,164;1812,292;1889,218;2061,461;2203,088;2537,302;2762,815;3384,153;3492,099;3679,19;3807,315;3876,224;3998,507;4072,685;4101,885;4093,707;4135,585;4227,541;4368,345;4535,895;4732,346;4955,351;5197,367
Kazakhstan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;168,645;304,849;737,242;1058,581;1349,596;1457,027;1445,898;1132,124;1230,491;1491,653;1657,15;2062,289;2862,502;3753,444;5261,01;6733,45;8349,277;7116,502;9005,258;11553,128;12300,475;13789,252;12712,104;10434,756;7658,458;8762,194;9977,414;10446,802;10998,412;11604,519;12316,411;13153,462
Kenya;641,654;582,63;541,284;484,062;485,688;467,396;536,791;569,04;570,524;546,95;552,681;506,802;484,699;326,994;380,183;468,002;516,168;507,78;564,736;500,113;479,303;479,603;473,995;524,743;549,163;621,283;743,439;895,226;978,454;982,003;1038,953;1054,979;1238,875;1318,788;1431,319;1453,296;1559,391;1695,378;1865,209;1990,619;2110,52;2232,759;2374,12;2514,969
Kiribati;702,094;735,458;680,896;617,277;661,104;500,889;479,615;1080,928;658,655;637,484;600,45;645,746;646,914;623,58;716,416;721,087;847,061;839,086;805,03;832,622;802,478;732,873;824,829;1016,375;1128,371;1212,132;1166,435;1376,275;1456,908;1332,071;1518,57;1741,137;1797,119;1731,371;1648,183;1538,511;1617,206;1721,867;1749,735;1769,926;1808,831;1832,289;1866,421;1898,426
Korea, Republic of;1704,467;1870,343;1977,63;2180,503;2390,686;2457,328;2803,356;3511,001;4686,148;5736,943;6516,267;7523,443;8001,532;8740,937;10205,86;12332,929;13137,854;12131,885;8085,341;10409,356;11947,604;11252,866;12782,543;14209,341;15907,677;18639,523;20888,38;23060,709;20430,64;18291,92;22086,953;24079,79;24358,78;25890,016;27811,367;27105,078;27608,248;29938,45;32046,001;32765,843;34209,1;35657,936;37314,672;38969,071
Kosovo;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1423,317;1706,38;1788,219;2182,801;2219,995;2265,779;2340,117;2792,682;3323,131;3243,825;3290,697;3763,399;3581,934;3885,783;4098,918;3637,434;3766,258;3944,121;4323,964;4491,556;4799,093;5099,639;5432,752;5766,739
Kuwait;20966,177;17631,854;14417,541;12973,988;13410,421;12670,687;9653,473;10956,483;9640,407;11359,505;8588,145;7960,513;13989,932;16213,488;13549,775;13871,989;15068,13;13740,681;11424,919;13358,134;17012,776;15108,112;15759,074;18786,749;21585,563;27014,773;31907,199;33732,522;42827,126;30414,739;32216,413;41657,444;45726,188;44754,341;40278,045;27036,136;25868,683;27393,912;31915,515;32736,587;33043,968;33571,061;34221,944;34865,062
Kyrgyz Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;207,064;147,505;244,772;324,843;390,962;373,374;339,082;254,832;277,937;307,038;320,43;378,357;431,162;473,873;540,539;719,775;960,95;865,597;875,264;1116,335;1166,15;1269,791;1266,639;1109,428;1109,589;1207,781;1254,135;1307,072;1368,071;1417,922;1477,648;1511,727
Lao P.D.R.;613,554;351,826;344,14;613,776;855,596;1047,035;712,071;487,675;308,818;370,816;426,322;487,955;543,561;595,309;673,42;763,126;775,942;716,319;267,284;278,724;333,16;334,638;345,385;416,07;479,63;542,382;686,652;822,36;1013,823;1080,469;1242,962;1463,469;1640,935;1899,979;2075,142;2212,402;2416,855;2540,842;2690,187;2907,079;3138,844;3371,795;3617,595;3881,248
Latvia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;632,908;1022,24;1724,98;2163,462;2417,455;2669,569;2965,155;3140,33;3334,254;3548,505;4116,125;5111,495;6315,403;7533,788;9635,172;14010,237;16316,827;12131,328;11228,129;13735,616;13762,164;14951,88;15680,89;13587,684;14008,887;15550,442;17634,365;18458,077;19809,023;21053,637;22410,406;23751,247
Lebanon;1575,556;1517,329;1038,758;1431,393;1692,11;1397,479;1073,331;1242,792;1235,084;1002,248;1035,446;1594,75;1937,9;2561,286;3019,671;3614,217;4173,208;5019,859;5474,552;5436,75;5256,592;5167,132;5354,641;5277,079;5487,237;5390,191;5404,319;6008,359;6982,066;8353,646;8850,222;9143,873;9954,452;10502,274;10966,29;11279,443;11524,381;12013,438;12453,703;12992,657;13454,068;13981,604;14576,749;15203,52
Lesotho;366,604;362,633;294,238;315,39;287,56;224,453;251,604;313,97;346,852;350,492;411,213;460,132;513,336;500,558;517,009;552,965;527,61;555,911;511,821;501,76;487,528;403,301;441,119;637,051;794,361;851,046;870,724;1001,122;922,427;1082,998;1309,59;1431,874;1358,874;1273,884;1336,387;1179,115;1216,635;1360,557;1465,548;1446,966;1487,992;1563,18;1634,628;1664,719
Liberia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;303,025;302,762;302,81;239,994;282,379;291,05;331,548;390,788;471,172;463,969;506,126;589,214;650,828;714,954;714,659;703,183;710,482;694,166;663,029;651,846;654,76;671,444;730,142;774,5
Libya;13031,83;10762,563;10247,108;9371,005;8411,48;8319,667;6524,775;5815,611;5795,806;5881,526;7193,535;7776,953;7703,526;6780,858;6192,591;6882,208;7372,447;7424,949;5980,039;7067,876;7388,136;6485,16;3833,574;4831,424;5988,392;8467,716;9659,637;11711,138;12570,871;8524,772;11417,422;5402,251;12693,637;8282,151;3876,411;2719,954;2903,741;4739,917;6638,601;7803,412;8355,933;9076,03;9920,209;10916,479
Lithuania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1845,673;2328,215;2830,751;3166,964;3113,638;3297,451;3530,201;4146,106;5505,586;6706,027;7880,346;9246,514;12313,169;15047,25;11866,627;12010,676;14386,61;14354,291;15695,744;16584,719;14296,347;14923,696;16730,626;18856,852;19881,492;21532,002;23075,425;24756,659;26396,559
Luxembourg;17738,608;15251,874;12514,722;12284,434;12033,023;12444,197;18023,017;22239,616;24976,673;26333,586;33201,394;35490,269;39219,909;39643,662;43483,047;50911,338;49921,106;44382,362;45822,189;49539,824;49173,655;48489,753;53348,154;66045,429;76318,062;81104,54;90494,693;107014,104;115987,042;104358,203;106184,607;117340,762;108047,815;114998,316;120856,951;102696,064;101788,556;105863,232;113954,417;115203,009;119893,126;123867,534;128147,141;131955,798
Macao SAR;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;15611,369;16622,924;18346,731;22880,995;24969,752;28805,634;34084,156;38086,666;39615,339;50921,113;65867,576;73937,747;84859,859;86997,503;70132,996;70260,597;77111,001;81585,43;86338,633;91019,426;95288,106;98976,822;102757,08
Madagascar;462,086;400,199;382,453;371,145;302,587;286,316;317,449;242,877;224,537;222,92;266,884;225,006;244,673;266,592;228,295;234,888;287,765;247,437;252,756;243,816;246,283;278,987;262,742;317,421;245,67;275,516;292,991;379,067;472,379;417,178;414,143;456,329;444,959;462,46;452,81;402,067;401,396;448,983;474,784;500,946;525,295;546,584;566,016;584,649
Malawi;326,983;318,032;295,582;298,052;284,324;254,768;251,755;232,783;251,93;272,96;298,716;371,869;300,049;343,226;197,546;227,197;363,682;414,359;264,97;261,557;250,462;240,396;272,824;245,144;259,727;267,785;284,729;306,9;358,416;405,62;442,765;493,843;359,588;317,471;343,979;353,502;293,851;325,536;349,133;361,152;371,027;382,771;396,778;415,563
Malaysia;1899,977;1893,237;1978,383;2158,889;2385,618;2124,286;1837,926;2041,02;2182,863;2347,175;2549,611;2844,899;3331,389;3664,867;3971,093;4612,497;5103,04;4941,362;3470,465;3710,067;4286,832;4130,378;4379,641;4673,914;5171,417;5599,049;6264,419;7378,585;8646,566;7439,435;8920,481;10287,883;10624,834;10754,655;11073,995;9677,163;9415,092;9755,178;10703,606;11338,739;12063,082;12793,616;13607,08;14422,762
Maldives;412,508;464,914;534,906;560,243;646,388;737,78;835,636;769,824;897,934;987,814;1091,55;1184,664;1343,012;1479,446;1591,14;1903,127;2107,605;2553,949;2658,803;2842,658;2967,253;2780,451;2952,215;3690,792;4238,041;3960,43;5268,781;6128,46;7337,931;7450,777;8086,665;8078,262;8719,534;9760,659;10787,471;11486,133;11911,826;12527,153;13151,857;13854,823;14714,408;15643,181;16642,866;17651,344
Mali;286,454;229,442;198,675;188,035;184,137;182,083;248,952;285,835;282,798;339,689;379,949;378,695;379,291;368,181;274,392;346,178;345,045;315,485;318,588;320,773;268,147;304,824;332,816;389,761;436,875;485,608;518,854;592,868;688,772;694,641;705,377;830,61;772,677;798,568;838,36;740,32;766,233;813,3;891,888;916,985;961,573;1002,076;1046,339;1088,806
Malta;3796,748;3677,235;3453,664;3249,768;3101,996;3113,707;3937,745;4878,641;5501,109;5705,594;6784,68;7186,488;7913,691;6981,791;7653,977;8943,296;9071,562;9111,743;9583,837;9944,329;10440,479;10391,869;11337,664;13648,264;15126,472;15899,493;16765,532;19584,633;22116,124;20806,321;21150,423;22933,749;22069,52;24021,743;26202,597;24036,728;25011,014;27326,715;30555,309;31867,326;34085,734;36065,771;38234,371;40424,189
Marshall Islands;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2185,537;2199,801;2148,98;2195,083;2309,828;2546,271;2576,426;2630,462;2740,614;2849,332;2978,24;2958,77;2962,443;3180,495;3302,319;3497,434;3590,891;3444,55;3361,153;3624,337;4040,291;4113,477;4185,36;4259,384;4328,952;4376,633;4418,316
Mauritania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;608,102;677,983;694,818;576,823;590,49;617,47;611,881;578,045;549,551;547,431;489,512;476,237;472,953;542,357;617,684;716,665;1029,675;1097,211;1265,27;1145,919;1318,068;1536,198;1515,414;1618,217;1488,788;1303,868;1235,215;1271,332;1309,989;1291,966;1318,926;1373,274;1433,276;1482,666
Mauritius;1268,107;1186,583;1124,4;1179,733;1080,41;1085,141;1454,116;1827,431;2104,548;2146,046;2555,86;2781,631;3091,412;3148,796;3446,307;3902,222;3993,479;3703,632;3701,865;3859,149;4102,593;4026,943;4196,429;5005,417;5626,004;5516,198;5695,975;6574,664;8030,052;7318,126;8000,376;9197,043;9291,236;9637,016;10151,727;9258,563;9678,965;10504,468;11014,942;11640,118;12549,631;13455,05;14348,349;15257,232
Mexico;3295,891;4135,806;2934,847;2341,273;2703,332;2810,06;1906,82;2050,329;2459,992;2940,086;3335,464;3927,96;4479,321;5467,155;5672,01;3810,928;4286,479;5148,07;5346,19;6019,94;7016,24;7409,679;7465,916;6964,629;7383,023;8189,161;8997,269;9588,507;9973,021;7975,422;9258,198;10204,512;10261,045;10764,334;10980,985;9673,643;8814,52;9318,823;9614,276;9865,79;10282,08;10732,957;11208,342;11705,401
Micronesia, Fed. States of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2097,327;2065,047;1947,254;2058,157;2066,414;2183,949;2262,047;2281,376;2314,943;2273,114;2374,107;2417,796;2461,939;2535,409;2713,146;2887,897;3034,902;3194,071;3098,029;3115,084;3079,499;3154,38;3202,753;3277,248;3336,791;3389,937;3444,093;3488,624;3533,731
Moldova;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;274,365;353,697;368,515;459,096;541,34;618,169;544,813;376,856;423,821;478,421;538,32;643,469;845,692;975,622;1115,521;1443,801;1989,172;1788,362;1913,669;2310,687;2398,191;2630,566;2631,835;2142,908;2243,117;2694,469;3226,717;3597,692;3709,968;3931,075;4137,309;4299,627
Mongolia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1511,904;1554,373;847,333;413,624;491,546;759,578;693,874;600,954;564,587;523,931;555,894;612,187;664,493;748,712;919,836;990,585;1323,996;1619,503;2114,548;1691,645;2608,309;3736,042;4323,603;4365,306;4179,239;3956,877;3702,583;3639,893;4097,756;4469,633;4818,201;5206,597;5658,135;6168,079
Montenegro;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1577,088;1870,594;2062,168;2733,985;3370,871;3679,44;4431,06;5984,678;7402,671;6744,163;6694,342;7325,659;6590,433;7189,148;7389,886;6517,419;7028,208;7678,443;8644,307;8987,912;9538,273;10075,403;10697,989;11269,731
Morocco;1132,089;895,782;881,181;778,036;695,127;685,329;884,05;952,577;1102,828;1109,286;1248,809;1310,61;1343,358;1239,049;1369,643;1479,276;1612,853;1442,425;1519,174;1492,184;1373,92;1376,532;1453,941;1768,603;1999,125;2063,312;2242,729;2549,881;2946,926;2922,586;2896,564;3111,538;2979,738;3200,479;3259,721;2964,961;2996,652;3136,862;3355,423;3441,101;3627,524;3827,913;4049,574;4285,42
Mozambique;444,797;337,264;336,635;295,418;302,875;396,187;463,218;209,547;184,504;192,13;304,385;231,543;151,715;152,109;159,082;157,934;210,628;242,999;271,933;290,316;255,35;243,134;257,603;279,204;330,198;361,492;382;423,366;502,5;475,416;429,948;524,891;589,818;604,999;619,907;528,934;379,004;426,091;481,248;500,769;518,692;535,443;553,68;611,639
Myanmar;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;164,282;213,121;221,19;159,448;165,585;254,094;254,995;287,488;345,622;477,873;704,11;770,211;996,632;1196,918;1186,013;1179,557;1275,291;1147,341;1210,456;1278,071;1354,164;1394,861;1537,418;1684,829;1846,001;2017,917
Namibia;no data;no data;no data;no data;no data;no data;no data;no data;no data;2027,87;2109,532;2034,92;2070,995;1922,824;2100,279;2197,585;2126,349;2143,726;1837,305;1874,47;2139,706;1939,787;1811,249;2607,864;3440,966;3708,785;4007,733;4378,564;4198,55;4340,183;5410,977;5870,933;6038,862;5793,927;5717,763;5162,865;4864,078;5589,462;5923,495;6140,303;6514,363;6848,099;7212,91;7578,099
Nauru;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;3122,457;3094,19;3113,76;2211,395;4185,191;4634,289;4936,669;7214,337;10005,006;10036,184;9872,939;8055,542;7823,642;8574,738;9037,099;8853,462;8880,884;8906,13;8999,205;9166,866
